bname,growth_potential,creativity,transformative_potential,leveraging_collaboration,risk_immunity,overall_score,opponent,opponent_score
AI_Unbound,9,8,6,9,7,78,FitnessGPT,80
FitnessGPT,8,7,8,9,8,80,AI_Unbound,78
Neon_Lights,8,9,7,9,6,78,The_DevOps_Droid,78
The_DevOps_Droid,9,7,6,9,8,78,Neon_Lights,78
SpeakSphere,8,6,7,8,6,70,HappyBodyHub,68
HappyBodyHub,7,7,6,8,7,68,SpeakSphere,70
UNSubscribe,8,5,6,8,7,68,Liang_Design,68
Liang_Design,6,8,5,8,7,68,UNSubscribe,68
The_Coloring_Nook,8,7,6,8,6,68,The_Iron_Ager,80
The_Iron_Ager,9,8,7,9,7,80,The_Coloring_Nook,68
OnEdge,8,6,5,8,4,62,FitGPT,84
FitGPT,9,8,7,9,7,84,OnEdge,62
Sustainable_Threads,8,6,7,8,6,70,SylvanStride,74
SylvanStride,7,8,6,9,7,74,Sustainable_Threads,70
Black_Gold_Beauty,8,6,5,8,7,68,Let_AI_Try,82
Let_AI_Try,7,8,9,9,8,82,Black_Gold_Beauty,68
Atlas_Adventures,8,6,7,9,7,70,HarmonAIze_Project,86
HarmonAIze_Project,9,8,8,10,8,86,Atlas_Adventures,70
Iris_AI,9,8,8,9,7,82,Aidan_Virtuoso,77
Aidan_Virtuoso,8,7,7,9,8,77,Iris_AI,82
Dungeon_AI,9,7,6,9,7,78,myGPTsherpa,80
myGPTsherpa,8,8,7,9,8,80,Dungeon_AI,78
ConversAI,9,6,5,9,8,74,Sustainable_Chef,78
Sustainable_Chef,8,8,7,9,7,78,ConversAI,74
Herizon.io,9,7,8,9,7,80,tinynews.ai,76
tinynews.ai,8,9,7,9,6,76,Herizon.io,80
DearAIbby,8,5,6,9,7,70,Second_Brain_OS,65
Second_Brain_OS,7,6,5,9,6,65,DearAIbby,70
Astronomik,9,7,8,9,7,82,upskillgpt,80
upskillgpt,8,8,7,9,8,80,Astronomik,82
Epochs_of_Pepe,8,7,6,8,5,68,GPTbotwealth,80
GPTbotwealth,9,8,7,9,7,80,Epochs_of_Pepe,68
The_AI_Chef,8,7,6,9,6,68,HigherEd.Tech,82
HigherEd.Tech,9,8,8,9,7,82,The_AI_Chef,68
SuperDroid_Robots,9,6,7,9,7,76,TruPetParent,78
TruPetParent,8,8,6,9,8,78,SuperDroid_Robots,76
FitLifeForge,8,6,7,8,6,70,Prodigy_Minds,70
Prodigy_Minds,7,7,7,8,7,70,FitLifeForge,70
TweetSphere,9,7,8,9,7,80,Grow_Wise,75
Grow_Wise,8,6,7,8,8,75,TweetSphere,80
Automa,8,6,7,9,6,68,GPT-4_Mastery,82
GPT-4_Mastery,9,8,8,9,7,82,Automa,68
GameDevGPT,9,8,7,9,7,80,Coolman,80
Coolman,8,7,9,8,8,80,GameDevGPT,80
Rave_Resource,8,5,4,8,6,62,Vulnerable_Targets,84
Vulnerable_Targets,9,8,7,8,8,84,Rave_Resource,62
ChatCode_Tutor,9,8,7,9,8,82,smarterhometechnology,76
smarterhometechnology,8,7,8,8,7,76,ChatCode_Tutor,82
TheAIGameMaker,8,7,6,9,6,68,EndeavorDAO,76
EndeavorDAO,7,8,7,9,7,76,TheAIGameMaker,68
VisionCraft_Productions,8,6,5,8,6,65,Custom_Text-to-3DPrint_Service,80
Custom_Text-to-3DPrint_Service,9,8,7,9,7,80,VisionCraft_Productions,65
Anywhere_Hub,8,5,6,8,7,68,Restimuli,80
Restimuli,9,7,8,8,8,80,Anywhere_Hub,68
Validate_OK,8,6,5,8,7,68,InterTwined_Being_Consulting,74
InterTwined_Being_Consulting,7,8,7,9,6,74,Validate_OK,68
Realtor's_Docs,8,4,3,8,6,58,EcoSoberBrews,84
EcoSoberBrews,9,7,8,8,7,84,Realtor's_Docs,58
Pitch_Architect,9,7,5,9,7,76,Herizon.io,82
Herizon.io,8,9,8,10,6,82,Pitch_Architect,76
HarmonAIze_Project,8,6,7,9,6,72,myGPTsherpa,74
myGPTsherpa,7,8,6,9,7,74,HarmonAIze_Project,72
EndeavorDAO,8,6,7,9,6,68,TweetSphere,86
TweetSphere,9,8,9,9,7,86,EndeavorDAO,68
Custom_Text-to-3DPrint_Service,8,7,6,8,6,70,SylvanStride,80
SylvanStride,9,8,7,8,7,80,Custom_Text-to-3DPrint_Service,70
EcoSoberBrews,8,6,7,8,7,72,ChatCode_Tutor,84
ChatCode_Tutor,9,8,8,9,8,84,EcoSoberBrews,72
The_Iron_Ager,8,6,7,8,6,70,GPTbotwealth,80
GPTbotwealth,9,7,8,9,7,80,The_Iron_Ager,70
FitnessGPT,9,6,7,9,7,76,Iris_AI,84
Iris_AI,8,9,8,9,8,84,FitnessGPT,76
DearAIbby,8,6,7,9,6,68,HigherEd.Tech,80
HigherEd.Tech,9,7,8,9,7,80,DearAIbby,68
TruPetParent,8,6,5,8,6,66,Restimuli,80
Restimuli,9,7,7,9,7,80,TruPetParent,66
Let_AI_Try,8,7,8,9,7,76,Astronomik,82
Astronomik,9,8,7,9,8,82,Let_AI_Try,76
Sustainable_Chef,8,6,7,9,7,70,SpeakSphere,85
SpeakSphere,9,8,8,9,8,85,Sustainable_Chef,70
GPT-4_Mastery,8,5,6,8,6,66,FitGPT,78
FitGPT,9,7,7,8,7,78,GPT-4_Mastery,66
InterTwined_Being_Consulting,8,9,8,10,7,82,Vulnerable_Targets,76
Vulnerable_Targets,7,8,7,8,8,76,InterTwined_Being_Consulting,82
Neon_Lights,8,7,6,8,6,70,Prodigy_Minds,74
Prodigy_Minds,7,6,8,9,7,74,Neon_Lights,70
GameDevGPT,9,8,7,9,8,82,Liang_Design,70
Liang_Design,7,7,6,8,7,70,GameDevGPT,82
FitLifeForge,8,6,7,8,6,70,Coolman,75
Coolman,7,7,8,8,7,75,FitLifeForge,70
The_DevOps_Droid,8,6,5,8,7,68,UNSubscribe,82
UNSubscribe,9,8,7,9,8,82,The_DevOps_Droid,68
Automa,8,6,5,9,7,70,Atlas_Adventures,78
